[00:01.220 --> 00:04.000]  Reliable controls, Thomas speaking.
[38:56.950 --> 38:59.510]  I don't know if I'm allowed to install it, but we could try.
[39:00.150 --> 39:01.190]  Did you say anything about installing?
[39:02.750 --> 39:05.350]  Oh, nice. I like the way
[39:05.350 --> 39:09.290]  you're thinking. Well, I don't know if it would work.
[39:09.430 --> 39:10.770]  I've never done this before.
[39:13.070 --> 39:17.390]  We're going to find out together. What horribleness are you doing?
[39:18.990 --> 39:20.170]  You know, nothing much.
[39:22.710 --> 39:25.530]  Can we delete that crappy firmware that I
[39:25.530 --> 39:26.850]  installed on this machine?
[39:28.970 --> 39:30.850]  Oh, yeah, it's in the other window.
[39:33.650 --> 39:33.930]  Here.
[39:34.750 --> 39:39.070]  Which one is it? This one. The one that's highlighted. This one in the middle.
[39:39.710 --> 39:41.010]  Oh, go ahead.
[39:42.430 --> 39:50.590]  Hey, go. Carry on. Alright, so I have
[39:50.590 --> 39:54.650]  never tried to just unzip this. You might have to install some other
[39:54.650 --> 39:57.350]  dependencies, but we'll see.
[40:07.450 --> 40:10.210]  Still copying
[40:12.820 --> 40:16.820]  I think.
[40:17.360 --> 40:19.740]  Oh, that's an icon. Derp.
[40:23.160 --> 40:23.900]  Amateur.
[40:26.480 --> 40:27.540]  Assistance required.
[40:28.800 --> 40:35.600]  Apparently, yep.
[40:36.320 --> 40:40.260]  Let's see if
[40:41.820 --> 40:43.700]  contact is available.
[40:50.410 --> 40:54.030]  It's supposed to be here anyway, so might as well put it there.
[41:01.150 --> 41:05.010]  You want me to reach out to my IT? Yep, that would be great.
[41:06.490 --> 41:09.030]  Okay, I'll see if he's able to answer
[41:09.030 --> 41:10.430]  showing he's away.
[42:24.120 --> 42:26.040]  I'm going to phone IT.
[42:40.970 --> 42:41.370]  Maybe
[42:48.640 --> 42:49.200]  Hey, Curry.
[43:00.610 --> 43:00.790]  Any
[43:00.790 --> 43:01.770]  contacts at IT?
[43:04.070 --> 43:06.250]  I need Toolkit 2 installed.
[43:09.170 --> 43:12.570]  Well, we're going to try it. With high likelihood it will work.
[43:22.620 --> 43:23.440]  I'm sorry,
[43:23.480 --> 43:24.600]  you want to install what?
[43:28.460 --> 43:29.660]  I'm on tech support
[43:29.660 --> 43:30.720]  right now too.
[43:33.540 --> 43:36.200]  You're on speaker phone, Kalen.
[43:37.660 --> 43:38.220]  Adil?
[43:42.880 --> 43:45.640]  Hey, maybe she has Toolkit 2.
[43:47.800 --> 43:49.480]  You don't have Toolkit 2, do you?
[43:49.600 --> 43:51.500]  You don't have Toolkit 2, do you?
[43:52.080 --> 43:55.500]  It's old. Probably invented before you were born.
[44:05.100 --> 44:06.220]  She's the youngest.
[44:07.760 --> 44:11.260]  I mean, you're probably not wrong. I bet you most of this is written in assembly.
[44:11.460 --> 44:15.720]  My goodness. See the size of the entire thing here?
[44:16.800 --> 44:19.580]  The entire thing, including all the images, is like 9
[44:19.580 --> 44:21.880]  gigabytes when it's compressed.
[44:23.680 --> 44:27.720]  There, so when it's uncompressed, it's Toolkit 2. The entire thing.
[44:28.020 --> 44:31.600]  The entire thing. Studio is like
[44:31.600 --> 44:33.420]  1.5 gigabytes now.
[44:35.840 --> 44:38.600]  You could almost set that old version on a floppy disk.
[44:39.380 --> 44:42.100]  Yeah, it's almost like it were made around that time, eh?
[44:43.800 --> 44:44.400]  Yeah.
[44:45.640 --> 44:47.600]  Oh, did you mean the save icon?
[44:51.800 --> 44:55.280]  Wow, that's so cool. You got a 3D printed save icon.
[45:00.760 --> 45:02.520]  Stop making me feel old.
[45:04.020 --> 45:08.420]  Hey, I did a lot of stuff with floppy disks. My dad had an Amiga.
[45:09.040 --> 45:11.600]  Of course, I was like 3 years old, so I didn't know what I was doing.
[45:13.340 --> 45:15.280]  You know they made 8.5?
[45:15.280 --> 45:18.940]  I had an 8.5 disk drive and floppy disk.
[45:19.640 --> 45:23.880]  I'm only aware of one size of floppy disk, and it's the one that fit in the floppy disk slot.
[45:24.500 --> 45:26.380]  No, there's two before that.
[45:26.760 --> 45:28.520]  I know there's other sizes, yep.
[45:30.380 --> 45:33.120]  Oh, do you remember the mini disk format?
[45:35.920 --> 45:36.340]  Yep.
[45:39.020 --> 45:40.560]  I think there was a
[45:40.560 --> 45:41.700]  mini disk player, right?
[45:41.820 --> 45:48.020]  Was it DVDs, or was it CDs? I can't remember.
[45:50.060 --> 45:52.320]  Awful format, though. I hated it.
[45:54.120 --> 45:55.980]  Okay, so I got my IT...
[45:55.980 --> 45:58.160]  I'm going to do a remote session with me.
[46:02.140 --> 46:05.040]  You've got the install file right there.
[46:05.040 --> 46:09.020]  I don't even know if it's going to work.
[46:09.080 --> 46:10.860]  I might have to actually just run the installer.
[46:23.180 --> 46:24.060]  Let's see.
[46:28.160 --> 46:29.440]  I didn't see the download.
[46:43.580 --> 46:44.580]  That's this one, right?
[46:52.310 --> 46:55.630]  Yeah, that's it. I don't even know if it's going to run.
[46:56.590 --> 46:58.190]  We're going to find out together.
[46:58.190 --> 47:01.230]  On Windows 11.
[47:04.880 --> 47:07.960]  We might need to install a couple dependencies.
[47:29.320 --> 47:30.260]  Password 123.
[47:34.840 --> 47:35.460]  Password
[47:35.460 --> 47:37.320]  one exclamation mark.
[47:38.400 --> 47:41.500]  Paste somewhere else. Paste in the notepad.
[47:42.660 --> 47:45.120]  Don't scare them like that.
[47:49.140 --> 47:50.480]  Oh, that's funny.
[47:52.060 --> 47:54.200]  Can I run two copies? Yeah, that's unfortunate.
[47:54.580 --> 47:57.600]  Sorry, got to do this all over again.
[48:05.360 --> 48:06.560]  Paste, paste, paste.
[48:06.840 --> 48:07.360]  Yeah.
[48:09.860 --> 48:10.380]  No.
[48:12.320 --> 48:12.860]  No.
[48:13.480 --> 48:15.120]  Gosh, dang it.
[48:20.100 --> 48:20.840]  It was a trial.
[48:21.020 --> 48:21.880]  You can just continue.
[48:25.360 --> 48:29.100]  It said you have 60 days. You can use the thing.
[48:29.760 --> 48:33.360]  I'll find you your license thing.
[48:33.500 --> 48:34.360]  Give me a second.
[48:34.360 --> 48:38.740]  If you have Toolkit, you can just copy over the file.
[48:39.840 --> 48:42.560]  Cool. Alright, so there's a couple
[48:42.560 --> 48:46.000]  of tools. I'm looking for Prince George.
[48:48.640 --> 48:49.340]  That's one.
[48:49.420 --> 48:51.640]  I've probably got one buried on this machine.
[48:56.160 --> 48:57.600]  Are we good?
[48:59.420 --> 49:00.920]  Alright, there we go. Perfect.
[49:00.920 --> 49:05.040]  Okay. What in the world is
[49:05.040 --> 49:05.620]  the connection?
[49:10.320 --> 49:12.960]  It's PG space dental.
[49:17.320 --> 49:20.560]  That is not at all what I thought it would do.
[49:26.560 --> 49:28.160]  There we go.
[49:29.700 --> 49:32.540]  And we want it to be dual. Yep.
[49:33.720 --> 49:37.440]  Okay. So first we're going to try the official one.
[49:38.580 --> 49:39.140]  And let's see how that goes.
[49:45.700 --> 49:46.640]  It's probably
[49:46.640 --> 49:48.900]  long view at this point. Yep.
[49:50.740 --> 49:54.040]  Alright, the latest version is not in there.
[49:58.040 --> 49:58.760]  Wait, were we trying
[49:58.760 --> 50:02.120]  to say send 7.7?
[50:02.120 --> 50:05.640]  Oh. He's like, okay, I'm done here.
[50:07.360 --> 50:08.320]  I mean, he's confident.
[50:14.150 --> 50:16.610]  It says it has the firmware, so I'm going to
[50:16.610 --> 50:20.030]  believe it and I'm not going to downgrade. No, it's wrong.
[50:20.230 --> 50:23.570]  Because it's never sent the firmware. It never changes anything.
[50:24.270 --> 50:28.550]  It can send the firmware but not send the software. No, it does
[50:28.550 --> 50:32.250]  nothing. It just sits there and then it just
[50:32.250 --> 50:36.250]  crashes out. Crashes out? You mean like...
[50:36.250 --> 50:40.490]  Well, like, fails. Okay, because I'm thinking of the other
[50:40.490 --> 50:42.450]  method of crash out.
[50:44.030 --> 50:46.790]  Crash out! Oh, not that.
[50:50.770 --> 50:52.410]  I just hated myself
[50:52.410 --> 50:53.870]  again, didn't I?
[50:57.430 --> 50:58.270]  I know that one.
[50:58.270 --> 51:19.960]  You know, how far does this usually get?
[51:21.940 --> 51:22.320]  Oh!
[51:25.320 --> 51:27.620]  Progress! Success! Yeah!
[51:33.420 --> 51:33.900]  Um...
[51:33.900 --> 51:38.160]  So, this is where we say when we're going to fix this. We're going to release the sixth version,
[51:38.260 --> 51:44.040]  right? Oh, maybe it didn't.
[51:46.280 --> 51:48.640]  It might have just done the thing where it just sent
[51:48.640 --> 51:52.440]  things and it's waiting for a response and hasn't received a response yet.
[51:55.530 --> 51:58.490]  Oh, there's no program. Yeah, that's kind of what I expect.
[52:01.530 --> 52:02.930]  Okay, let's try this again.
[52:04.170 --> 52:07.170]  Send. I don't know why there's such a
[52:07.170 --> 52:11.030]  major delay between...
[52:11.030 --> 52:14.230]  Yeah, I don't know. Did it fail probably through this time?
[52:14.950 --> 52:16.770]  Yeah, it failed at 19 packets.
[52:20.010 --> 52:20.610]  Uh...
[52:20.610 --> 52:24.770]  I mean, it did spring storage. Because it didn't fail at
[52:25.750 --> 52:28.790]  like seven packets, I think it actually is sending
[52:28.790 --> 52:32.830]  it to it, which is good. It's not great that it's stopping
[52:32.830 --> 52:34.690]  partway through, but still.
[52:44.140 --> 52:47.420]  If it fails again, I'll try the strange thing.
[52:50.080 --> 52:51.840]  Seven to eight first, maybe.
[52:53.740 --> 52:55.980]  This time it didn't even get that far
[52:55.980 --> 52:59.680]  for it to do this thing. It's like you're losing
[52:59.680 --> 53:03.860]  connection to it repeatedly. So it feels like, at least.
[53:05.600 --> 53:07.120]  Yeah. Alright.
[53:09.340 --> 53:11.580]  There we go. Do you think it needs a
[53:11.580 --> 53:15.540]  power cycle? Maybe.
[53:15.540 --> 53:16.360]  I mean, maybe.
[53:28.610 --> 53:29.130]  Now,
[53:29.150 --> 53:32.390]  if it's actually running 7.76 or whatever version,
[53:33.050 --> 53:36.990]  we still might have a problem here. But at least I've got a path forward.
[53:40.820 --> 53:42.880]  Sure. Toolkit 2 is a path forward.
[53:48.880 --> 53:51.280]  I'm sure our newer toolkit is just
[53:51.280 --> 53:55.320]  making the full use of the bandwidth, and that controller is probably on like
[53:55.320 --> 53:59.040]  4G internet or something. And the larger packets are getting
[53:59.040 --> 54:00.540]  fragmented and getting dropped.
[54:06.520 --> 54:07.040]  That's success.
[54:13.600 --> 54:14.560]  I don't know if
[54:15.240 --> 54:18.000]  it's actually successful, because like you were saying earlier,
[54:18.120 --> 54:21.360]  it's just kind of like lying to us, but we'll find out.
[54:22.540 --> 54:26.580]  No, it actually did something. The other one didn't.
[54:26.580 --> 54:30.100]  Yeah. Could actually see the packets go this time.
[54:30.720 --> 54:34.000]  Yeah. And we didn't see that before.
[54:36.570 --> 54:38.250]  By the time it like failed right away.
[54:49.400 --> 54:51.320]  Send it. Send it.
[54:56.390 --> 55:00.410]  How come you're doing it again? This is with the
[55:00.410 --> 55:05.110]  actual software package with it. Oh, I see.
[55:05.630 --> 55:08.730]  Which is going to be much bigger and why we think it might be failing.
[55:12.750 --> 55:14.670]  Earlier it did get to,
[55:14.670 --> 55:15.750]  was it 19?
[55:17.170 --> 55:21.070]  So it might just be drop packets, like unstable connection type
[55:21.070 --> 55:24.990]  thing. If that's the case, yes,
[55:24.990 --> 55:28.430]  it might have to go to site to actually send it, which is a bit unfortunate.
[55:29.470 --> 55:32.930]  Unless there's some other method to send it from
[55:32.930 --> 55:33.810]  a local computer.
[55:36.690 --> 55:38.070]  Maybe. I could
[55:38.070 --> 55:41.490]  maybe remote onto the guy's computer on site.
[55:45.790 --> 55:46.350]  And you can copy
[55:46.350 --> 55:49.790]  TOCA 2 there. Yeah.
[55:57.910 --> 55:59.350]  I'm sure if I just keep hitting
[55:59.350 --> 56:02.150]  send, eventually it will take, right? That's how it works.
[56:30.060 --> 56:31.440]  So that's what I was
[56:31.440 --> 56:35.480]  doing before. And then after a while it just say failed. But then it would
[56:35.480 --> 56:37.520]  say that the version was upgraded.
[56:46.980 --> 56:49.820]  Possibly power cycles needed, but I'm not sure.
[56:51.900 --> 56:54.740]  What I find interesting, it seems like the controller goes offline
[56:54.740 --> 56:58.260]  to accept the packets. And when it goes offline to accept the packets,
[56:58.320 --> 57:02.360]  it just goes offline. It doesn't
[57:05.200 --> 57:06.620]  do what you'd think.
[57:07.860 --> 57:10.620]  Let's try another warm start on this guy.
[57:12.420 --> 57:14.600]  I hope that's right. No, the right thing.
[57:15.840 --> 57:18.940]  This time with feeling. This time with feeling, yeah.
[57:39.170 --> 57:39.610]  Alrighty.
[57:45.930 --> 57:49.430]  Well, if this doesn't work, your only other option
[57:49.430 --> 57:53.230]  is to have me send version 8 firmware and then you get the pro web back.
[57:55.970 --> 57:57.370]  Because otherwise you're going to have to go
[57:57.370 --> 58:02.960]  to site. Well, thank goodness this isn't
[58:02.960 --> 58:07.300]  four hours out. No, like I can go to
[58:07.300 --> 58:11.260]  site if I can just... if you figure that's going to do it. But like what
[58:11.260 --> 58:13.720]  help would it be to send version 8 to it?
[58:15.320 --> 58:19.240]  If you send version 8, it would send it over back then instead of FTP.
[58:20.020 --> 58:21.360]  And that's the part that's getting stuck.
[58:22.840 --> 58:25.120]  So it should be fine over back then.
[58:25.120 --> 58:32.240]  Yeah. I just don't know how that's going to
[58:32.240 --> 58:34.360]  affect. It would have to stay that way then, right?
[58:36.220 --> 58:39.000]  Yeah, I think so. I don't think that...
[58:40.220 --> 58:43.960]  Wow. I mean, I can try. Like on mine
[58:43.960 --> 58:47.140]  before testing with yours. I don't mind doing that.
[58:49.100 --> 58:52.540]  But yeah, I think it would have to stay like that. It's possible
[58:52.540 --> 58:56.080]  that this would change back afterwards might be fine.
[58:56.080 --> 58:59.420]  But I don't know.
[59:00.000 --> 59:04.300]  Might be fine. I'm okay with it going to version 8, but I don't know how that
[59:04.300 --> 59:07.800]  affects the connection to the mock stats that are on site.
[59:08.700 --> 59:12.360]  As long as you've got that... well, they're already backed at main, so that shouldn't be a problem.
[59:14.300 --> 59:16.400]  The bigger issue is
[59:16.400 --> 59:20.060]  if we're connected over backnets, we're connected over RCP.
[59:20.140 --> 59:24.420]  I know RCP works, but I don't know if backnet works. Backnet works, but I'm not worried.
[59:26.740 --> 59:28.500]  If it's only RCP that
[59:28.500 --> 59:33.840]  works, then we won't be able to do it.
[59:36.940 --> 59:38.140]  Right, I'm doing a test.
[59:40.540 --> 59:40.880]  Alright.
[59:41.880 --> 59:45.660]  So first, I'm sending the bottomized version.
[59:47.500 --> 59:48.640]  Am I allowed to say that?
[59:49.640 --> 01:00:03.780]  I don't know. Alright, so after I send this,
[01:00:03.780 --> 01:00:07.440]  it should have no more software package on it.
[01:00:07.680 --> 01:00:11.980]  And with no more software package, I will send the version 8 firmware
[01:00:12.420 --> 01:00:14.620]  that will kind of force it to upgrade.
[01:00:17.760 --> 01:00:19.880]  Do you want me to get this guy to power cycle
[01:00:19.880 --> 01:00:23.780]  the controller? He's right there. Do you have it a shot? Yep.
[01:00:23.920 --> 01:00:27.940]  We can try it before doing this other message, and that will give me enough time.
[01:01:11.840 --> 01:01:13.100]  Okay, he's going to do that.
[01:01:23.050 --> 01:01:26.270]  I forgot the port that I can trigger my controller on.
[01:01:33.580 --> 01:01:33.660]  Oops.
[01:02:10.710 --> 01:02:13.310]  It's weird. I totally put in the right
[01:02:13.310 --> 01:02:14.470]  UDB port.
[01:02:17.030 --> 01:02:17.930]  Can you hit discover?
[01:02:23.760 --> 01:02:27.780]  Oh, I'm just dumb.
[01:02:28.660 --> 01:02:30.780]  That's what it is.
[01:02:42.510 --> 01:02:46.870]  Want me to try sending firmware again? Yep, send the
[01:02:46.870 --> 01:02:49.610]  normal firmware package. Yep.
[01:03:24.460 --> 01:03:26.780]  What in the world?
[01:03:52.130 --> 01:03:53.490]  Program failed.
[01:04:05.610 --> 01:04:05.770]  Unfortunately,
[01:04:05.790 --> 01:04:11.110]  I have to do something very mean to my controller to do this
[01:04:11.110 --> 01:04:14.970]  test, because I'm not having problems with the sending of the firmware.
[01:04:15.210 --> 01:04:18.710]  I have to intentionally interrupt
[01:04:18.710 --> 01:04:21.570]  my connection part way through the firmware send.
[01:04:25.030 --> 01:04:27.090]  And then it should appropriately
[01:04:28.130 --> 01:04:30.510]  knock its software off.
[01:04:56.830 --> 01:04:57.350]  Alright.
[01:04:58.910 --> 01:05:01.310]  Checking in with studio here.
[01:05:08.830 --> 01:05:10.990]  I guess I have to send a different version of firmware.
[01:05:15.790 --> 01:05:18.890]  I wonder if going to version A would be just fine, because
[01:05:18.890 --> 01:05:22.190]  like you said, mock steps are back capable.
[01:05:23.430 --> 01:05:26.570]  They show up under the BACnet tab, so they should still
[01:05:26.570 --> 01:05:36.630]  share all their points, right? It should be fine.
[01:05:37.250 --> 01:05:40.590]  We just want to make sure we have a backup of your panel
[01:05:40.590 --> 01:05:42.110]  file before we do the send.
[01:05:43.530 --> 01:05:45.890]  And we will need to use Toolkit
[01:05:45.890 --> 01:05:50.090]  3.4. So as long as you got the panel file
[01:05:50.090 --> 01:05:54.170]  backup, let's do it. YOLO!
[01:06:00.040 --> 01:06:00.600]  And actually
[01:06:00.600 --> 01:06:04.360]  right after this, I need to call someone else about sending firmware as well.
[01:06:05.400 --> 01:06:07.440]  It's just one of those days.
[01:06:10.200 --> 01:06:11.280]  Firmware Mondays.
[01:06:11.280 --> 01:06:13.300]  Other than Firmware Friday.
[01:06:14.940 --> 01:06:16.000]  PD?
[01:06:19.100 --> 01:06:21.960]  Oh, PG. That's it.
[01:06:23.280 --> 01:06:27.140]  Dental. There we go. We are going to connect
[01:06:27.140 --> 01:06:28.700]  BACnet.
[01:06:36.340 --> 01:06:37.400]  Alright.
[01:06:59.140 --> 01:07:00.000]  So, first
[01:07:00.000 --> 01:07:03.100]  I'm going to send it a version
[01:07:06.080 --> 01:07:07.900]  that doesn't use
[01:07:22.680 --> 01:07:23.180]  ProWeb.
[01:07:25.240 --> 01:07:25.740]  Alright.
[01:07:25.940 --> 01:07:29.420]  I'm going to ask you guys, when you download that firmware bundle,
[01:07:29.500 --> 01:07:33.000]  how do you pull out the firmware that you need? You don't.
[01:07:34.060 --> 01:07:36.080]  Oh, really? Yep.
[01:07:37.140 --> 01:07:41.180]  Really, really. You just select what you need. The only problem is it doesn't do any
[01:07:41.180 --> 01:07:45.080]  conversions for you. And the reason for that is you don't want to accidentally convert all your version 7
[01:07:45.080 --> 01:07:55.400]  stuff because you select it all. There we go.
[01:07:58.060 --> 01:07:58.440]  Alright.
[01:08:04.200 --> 01:08:07.600]  So, after it comes back, I'll be able to
[01:08:07.600 --> 01:08:11.480]  send it properly with the firmware bundle. And it should include the software
[01:08:11.480 --> 01:08:14.160]  portion, sending over the BACnet side.
[01:08:15.260 --> 01:08:19.000]  And then maybe when we switch it back to version 7, it will have the software.
[01:08:19.340 --> 01:08:23.200]  If that works, that's going to be the weirdest, wildest thing I've ever done to get
[01:08:23.200 --> 01:08:25.100]  the software on there.
[01:08:28.100 --> 01:08:29.360]  That's what I'm here for.
[01:08:31.760 --> 01:08:40.240]  There's some boundaries. Time to update
[01:08:40.740 --> 01:08:44.020]  the dentist office with some ProViews.
[01:08:46.660 --> 01:08:48.220]  They just spent a whole bunch
[01:08:48.220 --> 01:08:52.400]  of money because they had an expansion tank bladder
[01:08:52.400 --> 01:08:56.260]  blow right before they were already
[01:08:56.260 --> 01:08:57.800]  committed to upgrading their boilers.
[01:09:00.480 --> 01:09:02.700]  Just because it got older?
[01:09:04.260 --> 01:09:08.100]  Expanded too big. Yeah, it's about that 15 year mark.
[01:09:12.040 --> 01:09:13.680]  I think just
[01:09:13.680 --> 01:09:15.520]  lots of use in it.
[01:09:16.980 --> 01:09:19.640]  It's a geo...
[01:09:19.640 --> 01:09:24.440]  It's actually a ground pump that pumps ground water through a heat exchanger
[01:09:24.440 --> 01:09:27.400]  for the heat pump. Heat pumps in the building.
[01:09:28.840 --> 01:09:32.540]  It's really weird. It's using ground water, not a closed loop.
[01:09:33.860 --> 01:09:35.140]  It's pumping out of a well.
[01:09:35.820 --> 01:09:39.300]  I don't know what any of that means, so I'm glad you know.
[01:09:39.540 --> 01:09:40.000]  I do!
[01:09:42.100 --> 01:09:43.920]  I don't know why I know.
[01:09:44.000 --> 01:09:50.980]  They've got a seven foot tall expansion tank just to take whatever the extra pressure.
[01:09:51.520 --> 01:09:55.040]  It's got a big rubber bladder inside which expands when it
[01:09:55.040 --> 01:09:59.260]  pressurizes. Every time this ground pump starts up
[01:09:59.260 --> 01:10:03.360]  it will expand that bladder and it ruptured
[01:10:03.360 --> 01:10:07.420]  all the time. Yeah, I don't like it when my bladder ruptures
[01:10:09.260 --> 01:10:11.480]  either. Well you can't hold it in, Liam.
[01:10:12.860 --> 01:10:13.420]  I know!
[01:10:14.780 --> 01:10:16.400]  That's what happens when you get old.
[01:10:17.360 --> 01:10:18.960]  Don't remind me.
[01:10:22.880 --> 01:10:27.780]  We're not that old yet. The older I get, the further the bathroom is away.
[01:10:31.640 --> 01:10:33.180]  At one point the bathroom
[01:10:33.180 --> 01:10:35.160]  will always be with you, don't worry.
[01:10:36.140 --> 01:10:39.100]  Yeah, when I get old enough I don't have to worry.
[01:10:42.220 --> 01:10:43.580]  I have an expansion tank
[01:10:43.580 --> 01:10:44.740]  built in.
[01:10:48.300 --> 01:10:51.220]  Good news, it's in the software portion.
[01:10:53.480 --> 01:10:55.080]  That's good to see.
[01:10:56.660 --> 01:10:59.020]  Once it's done I should be able to just do a button
[01:10:59.020 --> 01:11:03.360]  to switch it back to version 7 and hopefully we can restore the MPW file.
[01:11:03.760 --> 01:11:07.160]  If we can't, we'll have to switch it back to version 8 and you'll have to
[01:11:07.160 --> 01:11:09.740]  rejigger a couple things. Or just go to site.
[01:11:12.240 --> 01:11:13.440]  Whichever one is your favorite.
[01:11:15.300 --> 01:11:19.420]  When we convert it back to version 7, which
[01:11:19.420 --> 01:11:22.860]  firmware bundle is it going to have? It won't have a firmware bundle.
[01:11:22.860 --> 01:11:27.240]  For the version of firmware
[01:11:27.240 --> 01:11:30.460]  it should have 7.91.
[01:11:30.880 --> 01:11:35.100]  For the software portion, I'm hoping it keeps whatever it had from the version
[01:11:35.100 --> 01:11:35.980]  8.1.
[01:11:40.360 --> 01:11:43.040]  I don't think it keeps two copies of
[01:11:43.040 --> 01:11:47.320]  the software portion. No, the software gets upgraded with the versions.
[01:11:47.960 --> 01:11:51.120]  Yeah, but I don't know if the controller actually stores both.
[01:11:51.120 --> 01:11:53.420]  Because that's a lot of things to store.
[01:11:57.100 --> 01:11:59.140]  It should just switch to the firmware
[01:11:59.140 --> 01:12:03.300]  version and leave the software version. But we'll see. I actually do not
[01:12:03.300 --> 01:12:06.540]  know this. We're going to learn together.
[01:12:11.490 --> 01:12:12.610]  I think it's tied with the
[01:12:12.610 --> 01:12:13.010]  firmware.
[01:12:19.350 --> 01:12:21.010]  Where would they store all that data?
[01:12:24.310 --> 01:12:25.190]  I mean
[01:12:25.190 --> 01:12:29.030]  I guess it could fit in there. It's not that big. It's only like 10 megabytes or something.
[01:12:29.630 --> 01:12:30.690]  In your trend logs.
[01:12:32.630 --> 01:12:37.010]  Your trend logs don't even...
[01:12:52.640 --> 01:12:53.080]  Hooray!
[01:12:58.300 --> 01:12:59.880]  Brought up to the current decade.
[01:13:01.520 --> 01:13:06.940]  Alright, and then I'm just going to go
[01:13:06.940 --> 01:13:09.180]  send certificate package, because why not?
[01:13:09.740 --> 01:13:12.020]  And switch.
[01:13:17.800 --> 01:13:23.520]  It'll be fine. If it's anything like my controller,
[01:13:23.740 --> 01:13:26.300]  it'll survive one way or the other.
[01:13:28.820 --> 01:13:31.140]  My controller, but not my control.
[01:13:34.060 --> 01:13:35.640]  We don't talk about that.
[01:13:43.480 --> 01:13:44.500]  It's back.
[01:13:44.980 --> 01:13:46.040]  Look at that.
[01:13:46.460 --> 01:13:50.060]  Okay, now will it be complaining? We'll find out.
[01:13:50.980 --> 01:13:51.780]  Come on, finish spinning.
[01:13:55.800 --> 01:13:58.080]  Yeah, I already know about that. Okay.
[01:13:59.180 --> 01:14:03.620]  We shall find out with properties...
[01:14:03.620 --> 01:14:07.220]  Oh, I clicked on the wrong thing somehow? How did that happen?
[01:14:08.580 --> 01:14:11.180]  Look at that. It has the firmware. It's software.
[01:14:11.980 --> 01:14:14.500]  Yay! For all the things.
[01:14:18.090 --> 01:14:21.650]  Alright, restore. Yes siree, I would like to do the restore.
[01:14:22.030 --> 01:14:22.930]  That'd be wonderful.
[01:14:24.970 --> 01:14:26.190]  Please do the needful.
[01:14:32.770 --> 01:14:37.030]  So now the important thing is, Spencer, do you remember all the steps?
[01:14:37.270 --> 01:14:39.090]  And later, can you do it on your own?
[01:14:39.950 --> 01:14:40.970]  No way.
[01:14:45.050 --> 01:14:46.790]  Come on, Thomas, do you remember all the steps?
[01:14:47.990 --> 01:14:48.850]  I think so.
[01:14:51.450 --> 01:14:52.790]  I don't remember all the steps.
[01:14:55.510 --> 01:14:56.630]  Error, no password.
[01:15:00.910 --> 01:15:04.730]  791 because we sent it 8, whatever 31.5.
[01:15:05.790 --> 01:15:07.950]  Apparently it did it. Look at that.
[01:15:09.730 --> 01:15:11.210]  It erred with the
[01:15:11.210 --> 01:15:14.010]  passive port momentarily and then it just kind of kept going.
[01:15:14.830 --> 01:15:16.830]  I don't know if he can load it. Maybe.
[01:15:18.550 --> 01:15:21.910]  We're going to find out. It's whitelisted, so hopefully.
[01:15:28.070 --> 01:15:28.590]  5069
[01:15:31.150 --> 01:15:31.670]  dot
[01:15:35.130 --> 01:15:35.650]  24686
[01:15:43.070 --> 01:15:45.090]  We will never know.
[01:15:45.890 --> 01:15:48.470]  Oh, wait. Oh, cool.
[01:15:52.150 --> 01:15:53.990]  Victory. Our work here is
[01:15:53.990 --> 01:15:54.370]  done.
[01:15:58.030 --> 01:15:59.670]  Now, never try this.
[01:16:03.930 --> 01:16:05.960]  As long as you have...
[01:16:07.350 --> 01:16:08.430]  Oh yeah, FTP.
[01:16:08.430 --> 01:16:11.010]  Yeah, so FTP.
[01:16:12.350 --> 01:16:16.490]  Perfectly fine protocol. However, it had been used
[01:16:16.490 --> 01:16:20.390]  many times within organizations to transfer files.
[01:16:20.990 --> 01:16:24.190]  So, anything that's useful, hackers will try and take advantage of.
[01:16:24.750 --> 01:16:28.210]  And what they did is they looked for anything that has FTP and just grabbed all your data.
[01:16:30.290 --> 01:16:32.570]  So, IT shut down a lot of
[01:16:32.570 --> 01:16:36.670]  things. Now, people moved on from FTP, which meant that nothing really
[01:16:36.670 --> 01:16:40.810]  changed as far as FTP is concerned, right? Whatever problems it had just kind of continued being
[01:16:40.810 --> 01:16:44.830]  problems. And once people start doing a lot more of the
[01:16:44.830 --> 01:16:48.710]  4G type communication of networks, it can't handle a lot
[01:16:48.710 --> 01:16:52.770]  of other things. So, here's an example. This loading page
[01:16:52.770 --> 01:16:55.250]  is taking longer than normal to whatever.
[01:17:00.520 --> 01:17:02.960]  Job dot JSON is a problem. Looks like we're missing
[01:17:02.960 --> 01:17:06.060]  a couple of details, but don't worry. We can fix that.
[01:17:17.300 --> 01:17:19.360]  Also, I think we can clear that alarm.
[01:17:34.120 --> 01:17:55.820]  Alrighty. Oh, it's missing a couple
[01:17:55.820 --> 01:17:59.900]  of things. No connection found to controller. Well, dang it.
[01:18:00.000 --> 01:18:02.660]  You know what that means. It's still using FTP.
[01:18:03.920 --> 01:18:07.840]  Well, of course it's using FTP. It's just, I don't know if we can actually send
[01:18:07.840 --> 01:18:11.420]  any of the things. Oh! Oh, okay.
[01:18:12.080 --> 01:18:12.900]  I guess we're good.
[01:18:15.580 --> 01:18:16.980]  Crowbar technique works.
